title,price,rating,oprice,brand
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.2cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Lime Green)  ","1,299",4.0,"₹1,299",Noise
Multi Dial Chronograph Luxury Quartz Analog Watch for Men  ,339,3.7,₹339,SWADESI STUFF
New Edition i7 Pro Max All in One Series 7 Smart Watch with Fitness Tracker Heart Monitor Men Women Smart Watch Black  ,619,3.2,₹619,Generic
Analog Men's Watch (Multicolor Dial Multi Colored Strap)  ,129,3.1,₹129,hamt
"boAt Xtend Smart Watch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, HR & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery Life(Deep Blue)  ","1,799",4.1,"₹1,799",boAt
New LED Square Digital Watch for Boys & Girls  ,99,2.7,₹99,RPS FASHION WITH DEVICE OF R
"OLICOM M1 Smart Watch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor  ",499,3.6,₹499,OLICOM
Analog Men's Watch (Brown Dial Brown Colored Strap)  ,299,3.6,₹299,SWISSTONE
"SHREENOVA XA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor,Sports Gym Watch for All Boys & Girls - Black  ",295,3.0,₹295,Generic
The Watch (Fourteen Tales of Thirteen Covens Book 5)  ,0,5.0,₹0,Audrey Brice
Unisex Elegant Plane Style Digital Display Waterproof Outdoor Sports Silicone Strap LED Wrist Watch ( black )  ,390,3.3,₹390,FANMIS
"pTron Force X12S Bluetooth Calling Smartwatch, 1.85"" Full Touch HD Display, Functional Crown, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Battery Life, Fitness Trackers & IP68 Waterproof (Pink)  ","1,199",3.2,"₹1,199",pTron
"OLICOM M1 Smart Watch Id-116 Bluetooth Smartwatch Wireless Fitness Band for Boys, Girls, Men, Women & Kids | Sports Gym Watch for All Smart Phones I Heart Rate and spo2 Monitor  ",499,3.6,₹499,OLICOM
Quartz Movement Analogue Display Multicoloured Dial Men's Watch (Green Dial Green Colored Strap)-Army  ,125,3.3,₹125,RPS FASHION WITH DEVICE OF R
"SHREENOVA XA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor,Sports Gym Watch for All Boys & Girls - Black  ",295,3.0,₹295,Generic
Neo Analog Dial Men's Watch  ,"4,194",4.3,"₹4,194",Titan
"pTron Force X12S Bluetooth Calling Smartwatch, 1.85"" Full Touch HD Display, Functional Crown, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Battery Life, Fitness Trackers & IP68 Waterproof (Pink)  ","1,199",3.2,"₹1,199",pTron
Karishma Analog Black Dial Men's Watch-NL1636SM01  ,"1,615",4.1,"₹1,615",Titan
Analogue Men's Watch(Gold Dial Silver Colored Strap)-S1089-2  ,"4,099",4.0,"₹4,099",FORSINING
Diamond Studded Stylish Analogue Watch with Rose Gold Dot Bracelet for Girls & Women  ,240,3.8,₹240,ZUPERIA
Analogue Silver Dial Day and Date Men's Boy's Watch - Dexter0507  ,241,3.4,₹241,Espoir
"AYL Smart Watch New Generation for You ID116 Touchscreen Android Smart Watch Bluetooth Smartwatch with Heart Rate Sensor and Basic Functionality for All Women, Men, Boys & Girls - Black  ",499,3.4,₹499,AYL
Axial Digital Black Dial Men's Watch-DZT2017  ,"10,397",3.8,"₹10,397",Diesel
Analog Dial Men's Watch  ,"1,894",4.2,"₹1,894",Titan
"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Pink)  ","1,099",3.2,"₹1,099",pTron
Mesh Steel Chain Analog Wrist Watch for Men (LD-G042)  ,329,3.9,₹329,LOUIS DEVIN
"MARVIK Smart Watch D116 for Xiaomi Mi Note 10 Smart Watch LED with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys Girls  ",449,3.1,₹449,MARVIK
Silicone Strap Black Dial Watch for Men | Watches for Boys | Stylish Analog Watches for Men  ,"1,499",5.0,"₹1,499",Sylvi
RPM Analog Grey Dial Men's Watch-NN77031SL03/NP77031SL03  ,"1,699",4.1,"₹1,699",Sonata
Brand - Analogue Men's Watch (Black Dial Multi Colored Strap) (1.Gold)  ,295,3.7,₹295,Acnos
"AYL Waterproof D-20 Touch Screen Smart Watch Bluetooth Smartwatch with Blood Pressure Tracking, Heart Rate Sensor and Basic Functionality for All Women and Girls (Pink)  ",470,3.3,₹470,AYL
Square Multi DIAL Analog Silicon Strap ADDI Stylish Designer Analog Watch - for Boys  ,189,3.5,₹189,SWADESI STUFF
"Smart Watch for men women boys 1.3"" OLED HD Display, Multiple watch Faces, SpO2 Monitoring, Sleep Monitor for Boys, Girls, Mens, Women & Kids for all Smartphones (ID 116 Plus Black) (ID116 Black)  ",432,4.6,₹432,LOCREST
"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Based Watch Faces  ","1,299",4.2,"₹1,299",Fire-Boltt
Analog Silver Dial Women's Watch-6280SM01  ,"1,495",4.0,"₹1,495",Fastrack
Analog Men's Watch  ,"1,298",4.1,"₹1,298",TIMEX
